day,type,entry,exit,pnl,hold
4,ORB,70526.50842464055,70471.48190477176,-0.0007802246431578577,30
4,ORB,70573.25496165443,70670.38947495613,0.0013763643657144563,30
5,ORB,72004.81605636241,71789.86042348285,-0.0029852952156880783,30
6,ORB,70617.21986359013,70154.34478254706,-0.006554705522777465,30
10,ORB,72070.6036754903,71975.99148121805,-0.0013127709419260571,30
10,ORB,72100.47059678078,72479.37675568163,0.005255252230181235,30
12,ORB,72177.62137267567,72076.6759668895,-0.0013985693053662758,30
12,ORB,72250.08385256708,71657.43914543578,-0.00820268538844394,30
12,ORB,72244.8472897972,72402.14265681706,0.002177253782389492,30
12,ORB,72277.34341792183,72061.4180686466,-0.0029874555298291666,30
12,ORB,72191.93036446728,72150.26484858521,-0.000577149214208748,30
13,ORB,71930.2709859151,71491.77005700507,-0.006096194590951722,30
14,ORB,73221.00476986683,73028.39086583497,-0.0026305826400122617,30
14,ORB,73394.2351684992,72925.7223530475,-0.006383509745364664,30
14,ORB,73136.30544885767,73040.76044744077,-0.0013063963353155135,30
15,ORB,72331.49638477588,72853.40374233687,0.007215492332477779,30
15,ORB,72854.37247778547,72755.4147280418,-0.0013582952728587883,30
15,ORB,72404.9801534422,72017.08001669696,-0.0053573681799676965,30
15,ORB,72297.54332456317,71940.49866239147,-0.0049385448765365166,30
15,ORB,72325.85663182911,72642.81784200147,0.004382405199648522,30
15,ORB,72674.73835593293,72773.85408996583,0.0013638264997592824,30
15,ORB,72748.73983060586,72974.38924863376,0.003101763941936555,30
17,ORB,72513.70649163853,72675.77696538222,0.002235032266105141,30
17,ORB,72641.99378778647,73097.28059009706,0.006267542761018389,30
17,ORB,73119.06996843753,73417.3779923228,0.004079756813291499,30
17,ORB,73614.15496064925,73292.81141177079,-0.004365241291572733,30
17,ORB,73327.93395596536,74048.48287684597,0.009826390599158458,30
17,ORB,73666.7492983317,73512.10799880487,-0.0020992008063308826,30
17,ORB,73487.38051252221,73285.83777584942,-0.002742548928362653,30
17,ORB,73325.96999009747,73896.01982865602,0.007774187489582976,30
17,ORB,73772.7850703558,73594.47455537581,-0.002417022955144559,30
17,ORB,73722.96262332238,73686.89820580946,-0.0004891883916439121,30
23,ORB,73298.89301334092,73211.9002474841,-0.001186822369077063,30
23,ORB,73548.47147763966,74051.58893640566,0.006840624266664262,30
23,ORB,74020.58885720014,73957.77893846767,-0.0008485465963212209,30
23,ORB,73953.20092702137,73637.71636196443,-0.004266002838312229,30
23,ORB,73534.34336315736,73605.89708298113,0.0009730653263658957,30
23,ORB,73467.28768106732,73622.65500111178,0.002114782305819348,30
23,ORB,73697.38703742326,73933.0948994146,0.0031983204760250954,30
23,ORB,73766.03720874383,74181.3162119964,0.005629677544930411,30
23,ORB,74324.32072823381,74273.7851559306,-0.0006799331875227561,30
23,ORB,74378.34047863174,74476.70794333372,0.0013225283606621997,30
26,ORB,72779.04282708217,72672.54717666848,-0.0014632735781744148,30
26,ORB,72680.4888104355,72670.43635694213,-0.00013831020756613227,30
26,ORB,72710.92202080671,72742.11922375341,0.00042905800228708975,30
26,ORB,72694.61011030799,72352.2395881216,-0.004709709862489939,30
26,ORB,72452.57829415606,72403.03080532915,-0.0006838609473046944,30
26,ORB,72573.32385079845,72801.145129098,0.0031391875996740334,30
26,ORB,72704.07383513119,72811.61066028551,0.0014791031572478856,30
28,ORB,72751.63705509868,72650.40340341227,-0.001391496546115271,30
28,ORB,72883.93434940827,72864.31366401426,-0.00026920453141219094,30
